,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,participation_count_before_award
2,Jos Barrn,M,A North American Team,MEX,1900,Paris,Polo,Polo Men's Polo,Bronze,0
3,Jos Barrn,M,A North American Team,MEX,1900,Paris,Polo,Polo Men's Polo,Bronze,1
4,Jos Barrn,M,A North American Team,MEX,1900,Paris,Polo,Polo Men's Polo,Bronze,2
5,William Wright,M,A North American Team,USA,1900,Paris,Polo,Polo Men's Polo,Bronze,3
154,Yauheni Zalaty,M,AIN,AIN,2024,Paris,Rowing,Men's Single Sculls,Silver,0
159,Yauheni Tsikhantsou,M,AIN,AIN,2024,Paris,Weightlifting,Men's 102kg,Bronze,1
163,Ivan Litvinovich,M,AIN,AIN,2024,Paris,Trampoline Gymnastics,Men,Gold,2
164,Viyaleta Bardzilouskaya,F,AIN,AIN,2024,Paris,Trampoline Gymnastics,Women,Silver,3
183,Diana Shnaider,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,Silver,4
185,Mirra Andreeva,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,Silver,5
126,Rohullah Nikpai,M,Afghanistan,AFG,2008,Beijing,Taekwondo,Taekwondo Men's Flyweight,Bronze,0
133,Rohullah Nikpai,M,Afghanistan,AFG,2012,London,Taekwondo,Taekwondo Men's Featherweight,Bronze,1
279,Islam Dudaev,M,Albania,ALB,2024,Paris,Wrestling,Men's Freestyle 65kg,Bronze,0
282,Chermen Valiev,M,Albania,ALB,2024,Paris,Wrestling,Men's Freestyle 74kg,Bronze,1
407,Mustapha Moussa,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Bronze,0
414,Mohamed Zaoui,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Middleweight,Bronze,1
470,Hassiba Boulmerka,F,Algeria,ALG,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",Gold,2
489,Hocine Soltani,M,Algeria,ALG,1992,Barcelona,Boxing,Boxing Men's Featherweight,Bronze,3
500,Mohamed Bahari,M,Algeria,ALG,1996,Atlanta,Boxing,Boxing Men's Middleweight,Bronze,4
535,Noureddine Morceli,M,Algeria,ALG,1996,Atlanta,Athletics,"Athletics Men's 1,500 metres",Gold,5
540,Hocine Soltani,M,Algeria,ALG,1996,Atlanta,Boxing,Boxing Men's Lightweight,Gold,6
545,Mohamed Allalou,M,Algeria,ALG,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze,7
562,Abderrahmane Zaheer,M,Algeria,ALG,2000,Sydney,Athletics,Athletics Men's High Jump,Bronze,8
579,Nouria Mrah-benida,F,Algeria,ALG,2000,Sydney,Athletics,"Athletics Women's 1,500 metres",Gold,9
587,Assa Sad-guerni,M,Algeria,ALG,2000,Sydney,Athletics,Athletics Men's 800 metres,Bronze,10
588,Ali Sadi-sief,M,Algeria,ALG,2000,Sydney,Athletics,"Athletics Men's 5,000 metres",Silver,11
674,Amar Benikhlef,M,Algeria,ALG,2008,Beijing,Judo,Judo Men's Middleweight,Silver,12
686,Soraya Haddad,F,Algeria,ALG,2008,Beijing,Judo,Judo Women's Half-Lightweight,Bronze,13
751,Taoufik Makhloufi,M,Algeria,ALG,2012,London,Athletics,"Athletics Men's 1,500 metres",Gold,14
819,Taoufik Makhloufi,M,Algeria,ALG,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Silver,15
820,Taoufik Makhloufi,M,Algeria,ALG,2016,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Silver,16
886,Imane Khelif,F,Algeria,ALG,2024,Paris,Boxing,Women's 66kg,Gold,17
901,Kaylia Nemour,F,Algeria,ALG,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,Gold,18
908,Djamel Sedjati,M,Algeria,ALG,2024,Paris,Athletics,Men's 800m,Bronze,19
935,Karl-Robert Ameln,M,Ali-Baba II,SWE,1948,London,Sailing,Sailing Mixed 6 metres,Bronze,0
938,Martin Hindorff,M,Ali-Baba II,SWE,1948,London,Sailing,Sailing Mixed 6 metres,Bronze,1
939,Tore Holm,M,Ali-Baba II,SWE,1948,London,Sailing,Sailing Mixed 6 metres,Bronze,2
940,Torsten Lord,M,Ali-Baba II,SWE,1948,London,Sailing,Sailing Mixed 6 metres,Bronze,3
941,Gsta Saln,M,Ali-Baba II,SWE,1948,London,Sailing,Sailing Mixed 6 metres,Bronze,4
958,Charles Bennett,M,Amateur Athletic Association,GBR,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,0
959,John Rimmer,M,Amateur Athletic Association,GBR,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,1
960,Sidney Robinson,M,Amateur Athletic Association,GBR,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,2
961,Stanley Rowley,M,Amateur Athletic Association,AUS,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,3
962,Alfred Tysoe,M,Amateur Athletic Association,GBR,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,4
1009,Johan Burk,M,Amstel Amsterdam,NED,1908,London,Rowing,Rowing Men's Coxless Fours,Bronze,0
1010,Bernardus Croon,M,Amstel Amsterdam,NED,1908,London,Rowing,Rowing Men's Coxless Fours,Bronze,1
1011,Hermannus Hfte,M,Amstel Amsterdam,NED,1908,London,Rowing,Rowing Men's Coxless Fours,Bronze,2
1012,Albertus Wielsma,M,Amstel Amsterdam,NED,1908,London,Rowing,Rowing Men's Coxless Fours,Bronze,3
1019,Robert Coleman,M,Ancora,GBR,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold,0
1020,William Maddison,M,Ancora,GBR,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold,1
1021,Cyril Wright,M,Ancora,GBR,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold,2
1022,Dorothy (machin-),F,Ancora,GBR,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold,3
1088,John Jr.,M,Angelita,USA,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold,0
1089,Alphonse Jr.,M,Angelita,USA,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold,1
1090,Kenneth Carey,M,Angelita,USA,1932,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold,2
