Year,Team,Sport,Gold,Total,Score,Coach,Host,Events,Athletes,GDP
1960,Australia,Equestrianism,5,6,55,0,0,5,270,162.936
1968,Australia,Equestrianism,0,4,8,0,0,6,224,162.936
1976,Australia,Equestrianism,0,4,8,0,0,6,274,162.936
1992,Australia,Equestrianism,5,5,50,0,0,6,390,318.001
1996,Australia,Equestrianism,4,4,40,0,0,6,542,424.744
2000,Australia,Equestrianism,4,5,45,0,0,6,762,400.303
2008,Australia,Equestrianism,0,5,25,0,0,6,559,1056.574
2016,Australia,Equestrianism,0,4,8,0,0,6,510,1263.667
1964,Australia,Judo,0,1,2,0,0,4,382,162.936
2000,Australia,Judo,0,1,2,0,0,14,762,400.303
1984,Australia,Shooting,0,1,2,0,0,11,337,197.15
1996,Australia,Shooting,2,3,22,0,0,13,542,424.744
2000,Australia,Shooting,1,3,17,0,0,15,762,400.303
2004,Australia,Shooting,1,2,12,0,0,17,585,658.776
2008,Australia,Shooting,0,1,2,0,0,17,559,1056.574
2016,Australia,Shooting,1,1,10,0,0,15,510,1263.667
2024,Australia,Shooting,0,1,2,0,0,15,649,1802.006
1900,Australia,Swimming,2,2,20,0,0,7,5,162.936
1904,Australia,Swimming,0,4,17,0,0,9,6,162.936
1906,Australia,Swimming,0,1,2,0,0,4,10,162.936
1920,Australia,Swimming,0,6,27,0,0,10,29,162.936
1924,Australia,Swimming,1,8,39,0,0,11,60,162.936
1928,Australia,Swimming,0,2,10,0,0,11,29,162.936
1932,Australia,Swimming,1,2,15,0,0,11,20,162.936
1948,Australia,Swimming,0,4,14,0,0,11,101,162.936
1952,Australia,Swimming,1,1,10,0,0,11,135,162.936
1956,Australia,Swimming,19,25,214,0,0,13,402,162.936
1960,Australia,Swimming,5,34,171,0,0,15,270,162.936
1964,Australia,Swimming,4,20,87,0,0,18,382,162.936
1968,Australia,Swimming,3,18,87,0,0,29,224,162.936
1972,Australia,Swimming,6,10,74,0,0,29,266,162.936
1976,Australia,Swimming,0,1,2,0,0,26,274,162.936
1980,Australia,Swimming,6,11,70,0,0,26,190,162.936
1984,Australia,Swimming,1,20,72,0,0,29,337,197.15
1988,Australia,Swimming,1,3,17,0,0,31,339,271.107
1992,Australia,Swimming,1,9,35,0,0,31,390,318.001
1996,Australia,Swimming,2,25,93,1,0,32,542,424.744
2000,Australia,Swimming,15,46,293,1,0,32,762,400.303
2004,Australia,Swimming,17,31,231,1,0,32,585,658.776
2008,Australia,Swimming,19,54,299,1,0,32,559,1056.574
2012,Australia,Swimming,7,32,171,0,0,32,506,1570.323
2016,Australia,Swimming,7,32,162,0,0,32,510,1263.667
2020,Australia,Swimming,20,53,275,0,0,35,638,1364.828
2024,Australia,Swimming,17,51,295,0,0,35,649,1802.006
1988,Australia,Tennis,0,2,4,0,0,4,339,271.107
1992,Australia,Tennis,0,2,4,0,0,4,390,318.001
1996,Australia,Tennis,2,2,20,0,0,4,542,424.744
2000,Australia,Tennis,0,2,10,0,0,4,762,400.303
2004,Australia,Tennis,0,1,2,0,0,5,585,658.776
2020,Australia,Tennis,0,2,4,0,0,0,638,1364.828
2024,Australia,Tennis,2,2,20,0,0,0,649,1802.006
1996,Brazil,Equestrianism,0,4,8,0,0,6,243,851.146
2000,Brazil,Equestrianism,0,4,8,0,0,6,228,655.454
2004,Brazil,Equestrianism,1,1,10,0,0,6,310,669.29
2012,Brazil,Gymnastics,1,1,10,0,0,18,294,2464.053
2016,Brazil,Gymnastics,0,3,12,0,1,18,571,1796.622
1972,Brazil,Judo,0,1,2,0,0,6,104,145.819
1984,Brazil,Judo,0,3,9,0,0,8,197,142.957
1988,Brazil,Judo,1,1,10,1,0,7,233,320.105
1992,Brazil,Judo,1,1,10,1,0,14,233,382.465
1996,Brazil,Judo,0,2,4,1,0,14,243,851.146
2000,Brazil,Judo,0,2,10,1,0,14,228,655.454
2004,Brazil,Judo,0,2,4,0,0,14,310,669.29
2008,Brazil,Judo,0,3,6,0,0,14,330,1695.855
2012,Brazil,Judo,1,4,16,0,0,14,294,2464.053
2016,Brazil,Judo,1,3,14,0,1,14,571,1796.622
2020,Brazil,Judo,0,2,4,0,0,15,416,1476.092
2024,Brazil,Judo,1,13,37,0,0,15,401,2188.419
1920,Brazil,Shooting,1,7,25,0,0,21,38,145.819
2016,Brazil,Shooting,0,1,5,0,1,15,571,1796.622
1952,Brazil,Swimming,0,1,2,0,0,11,114,145.819
1960,Brazil,Swimming,0,1,2,0,0,15,82,145.819
1980,Brazil,Swimming,0,4,8,0,0,26,149,145.819
1984,Brazil,Swimming,0,1,5,0,0,29,197,142.957
1992,Brazil,Swimming,0,1,5,0,0,31,233,382.465
1996,Brazil,Swimming,0,3,9,0,0,32,243,851.146
2000,Brazil,Swimming,0,4,8,0,0,32,228,655.454
2008,Brazil,Swimming,1,2,12,0,0,32,330,1695.855
2012,Brazil,Swimming,0,2,7,0,0,32,294,2464.053
2016,Brazil,Swimming,0,1,2,0,1,32,571,1796.622
2020,Brazil,Swimming,0,2,4,0,0,35,416,1476.092
2020,Brazil,Tennis,0,2,4,0,0,0,416,1476.092
1984,Brazil,Volleyball,0,12,60,0,0,2,197,142.957
1992,Brazil,Volleyball,12,12,120,0,0,2,233,382.465
1996,Brazil,Volleyball,0,12,24,0,0,2,243,851.146
2000,Brazil,Volleyball,0,12,24,0,0,4,228,655.454
2004,Brazil,Volleyball,12,12,120,1,0,4,310,669.29
2008,Brazil,Volleyball,12,24,180,1,0,4,330,1695.855
2012,Brazil,Volleyball,12,24,180,1,0,4,294,2464.053
2016,Brazil,Volleyball,12,12,120,1,1,4,571,1796.622
2020,Brazil,Volleyball,0,12,60,0,0,4,416,1476.092
2024,Brazil,Volleyball,0,13,26,0,0,2,401,2188.419
1956,Canada,Equestrianism,0,3,6,0,0,6,143,276.064
1968,Canada,Equestrianism,3,3,30,0,0,6,291,276.064
1976,Canada,Equestrianism,0,1,5,0,1,6,531,276.064
