Year,Team,Sport,Coach,Host,Events,Athletes,GDP,Gold,Total,Score
1992,China,Badminton,0,0,5,378,492.148,0,2,4
1996,China,Badminton,0,0,5,418,860.468,0,3,9
2000,China,Badminton,1,0,5,392,1205.532,2,6,34
2004,China,Badminton,1,0,5,490,1949.446,1,4,22
2008,China,Badminton,1,1,5,708,4577.28,2,4,27
2012,China,Badminton,1,0,5,463,8539.584,2,4,27
2016,China,Badminton,1,0,5,483,11226.897,1,1,10
2020,China,Badminton,0,0,0,574,14862.564,3,10,65
2024,China,Badminton,0,0,0,587,18273.357,4,9,65
1984,China,Fencing,0,0,8,323,314.23,1,1,10
1992,China,Fencing,0,0,8,378,492.148,0,1,5
2000,China,Fencing,0,0,10,392,1205.532,0,6,21
2004,China,Fencing,0,0,10,490,1949.446,0,6,30
2008,China,Fencing,0,1,10,708,4577.28,1,5,30
2012,China,Fencing,0,0,10,463,8539.584,5,6,52
2016,China,Fencing,0,0,10,483,11226.897,0,5,22
2020,China,Fencing,0,0,12,574,14862.564,1,1,10
1984,China,Gymnastics,0,0,15,323,314.23,5,21,109
1988,China,Gymnastics,0,0,16,423,408.663,1,2,12
1992,China,Gymnastics,0,0,16,378,492.148,2,13,69
1996,China,Gymnastics,0,0,16,418,860.468,1,12,62
2000,China,Gymnastics,0,0,16,392,1205.532,8,12,94
2004,China,Gymnastics,0,0,18,490,1949.446,1,3,14
2008,China,Gymnastics,0,1,18,708,4577.28,19,24,203
2012,China,Gymnastics,0,0,18,463,8539.584,8,12,97
2016,China,Gymnastics,0,0,18,483,11226.897,0,10,20
1992,China,Judo,0,0,14,378,492.148,1,3,14
1996,China,Judo,0,0,14,418,860.468,1,2,12
2000,China,Judo,0,0,14,392,1205.532,2,4,27
2004,China,Judo,0,0,14,490,1949.446,1,5,21
2008,China,Judo,0,1,14,708,4577.28,3,4,32
2012,China,Judo,0,0,14,463,8539.584,0,2,7
2016,China,Judo,0,0,14,483,11226.897,0,2,4
2024,China,Judo,0,0,15,587,18273.357,0,1,2
1984,China,Shooting,1,0,11,323,314.23,3,6,36
1988,China,Shooting,1,0,11,423,408.663,0,2,7
1992,China,Shooting,1,0,11,378,492.148,2,4,30
1996,China,Shooting,1,0,13,418,860.468,2,5,32
2000,China,Shooting,1,0,15,392,1205.532,3,8,46
2004,China,Shooting,1,0,17,490,1949.446,4,9,56
2008,China,Shooting,1,1,17,708,4577.28,5,8,62
2012,China,Shooting,1,0,15,463,8539.584,2,7,36
2016,China,Shooting,1,0,15,483,11226.897,1,7,28
2020,China,Shooting,1,0,15,574,14862.564,6,13,77
2024,China,Shooting,0,0,15,587,18273.357,6,12,78
1988,China,Swimming,0,0,31,423,408.663,0,4,17
1992,China,Swimming,0,0,31,378,492.148,4,13,85
1996,China,Swimming,0,0,32,418,860.468,1,12,50
2004,China,Swimming,0,0,32,490,1949.446,1,6,35
2008,China,Swimming,0,1,32,708,4577.28,1,14,57
2012,China,Swimming,0,0,32,463,8539.584,5,15,76
2016,China,Swimming,0,0,32,483,11226.897,1,6,26
2020,China,Swimming,0,0,35,574,14862.564,8,14,107
2024,China,Swimming,0,0,35,587,18273.357,6,36,144
2024,China,Tennis,0,0,0,587,18273.357,1,3,20
1984,China,Volleyball,0,0,2,323,314.23,10,10,100
1988,China,Volleyball,0,0,2,423,408.663,0,11,22
1996,China,Volleyball,0,0,4,418,860.468,0,9,45
2004,China,Volleyball,0,0,4,490,1949.446,12,12,120
2008,China,Volleyball,0,1,4,708,4577.28,0,12,24
2016,China,Volleyball,1,0,4,483,11226.897,12,12,120
