Team,Year,Sport,Medal
Australia,1992,Badminton,No medal
Australia,1992,Badminton,No medal
Australia,1992,Badminton,No medal
Australia,1992,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,1996,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2000,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2004,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2008,Badminton,No medal
Australia,2012,Badminton,No medal
Australia,2012,Badminton,No medal
Australia,2012,Badminton,No medal
Australia,2012,Badminton,No medal
Australia,2012,Badminton,No medal
Australia,2016,Badminton,No medal
Australia,2016,Badminton,No medal
Australia,2016,Badminton,No medal
Australia,2016,Badminton,No medal
Australia,2016,Badminton,No medal
Australia,2020,Badminton,No medal
Australia,2020,Badminton,No medal
Australia,2020,Badminton,No medal
Australia,2020,Badminton,No medal
Australia,2020,Badminton,No medal
Australia,2024,Badminton,No medal
Australia,2024,Badminton,No medal
Australia,2024,Badminton,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1956,Equestrianism,No medal
Australia,1960,Equestrianism,No medal
Australia,1960,Equestrianism,Gold
Australia,1960,Equestrianism,Silver
Australia,1960,Equestrianism,Gold
Australia,1960,Equestrianism,Gold
Australia,1960,Equestrianism,Gold
Australia,1960,Equestrianism,No medal
Australia,1960,Equestrianism,Gold
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1964,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,Bronze
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,Bronze
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,Bronze
Australia,1968,Equestrianism,No medal
Australia,1968,Equestrianism,Bronze
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1972,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,Bronze
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,Bronze
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,Bronze
Australia,1976,Equestrianism,No medal
Australia,1976,Equestrianism,Bronze
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1984,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1988,Equestrianism,No medal
Australia,1992,Equestrianism,No medal
Australia,1992,Equestrianism,No medal
Australia,1992,Equestrianism,Gold
Australia,1992,Equestrianism,No medal
Australia,1992,Equestrianism,Gold
Australia,1992,Equestrianism,No medal
Australia,1992,Equestrianism,Gold
Australia,1992,Equestrianism,Gold
Australia,1992,Equestrianism,Gold
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,Gold
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,Gold
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,Gold
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,No medal
Australia,1996,Equestrianism,Gold
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,Gold
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,Silver
Australia,2000,Equestrianism,Gold
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,Gold
Australia,2000,Equestrianism,No medal
Australia,2000,Equestrianism,Gold
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2004,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,Silver
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,Silver
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,Silver
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,Silver
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,Silver
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2008,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2012,Equestrianism,No medal
Australia,2016,Equestrianism,No medal
Australia,2016,Equestrianism,Bronze
Australia,2016,Equestrianism,No medal
Australia,2016,Equestrianism,Bronze
Australia,2016,Equestrianism,No medal
Australia,2016,Equestrianism,No medal
Australia,2016,Equestrianism,No medal
Australia,2016,Equestrianism,No medal
