Year,Team,Sport,Coach,Host,Events,Athletes,GDP,Gold,Total,Score
1984,Australia,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-1.054991554851272,-0.7128907738986661,0,1,2
1984,Australia,Swimming,-0.2720797484067361,-0.22851547244951506,1.5373506375177743,-1.054991554851272,-0.7128907738986661,1,20,72
1984,Brazil,Judo,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-1.861279886735763,-0.7208864204246542,0,3,9
1984,Brazil,Swimming,-0.2720797484067361,-0.22851547244951506,1.5373506375177743,-1.861279886735763,-0.7208864204246542,0,1,5
1984,Brazil,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-1.861279886735763,-0.7208864204246542,0,12,60
1984,China,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-1.135620388039721,-0.6956167662729078,1,1,10
1984,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.132925071313875,-1.135620388039721,-0.6956167662729078,5,21,109
1984,China,Shooting,2.7869197787824507,-0.22851547244951506,-0.2683393761729534,-1.135620388039721,-0.6956167662729078,3,6,36
1984,China,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-1.135620388039721,-0.6956167662729078,10,10,100
1984,France,Judo,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.9570851145510124,-0.6642731768125074,0,3,9
1984,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.8764562813625634,-0.6769060120955643,22,38,258
1984,Italy,Judo,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.8764562813625634,-0.6769060120955643,0,1,5
1984,Italy,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-0.8764562813625634,-0.6769060120955643,1,3,17
1984,Italy,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-0.8764562813625634,-0.6769060120955643,0,12,24
1984,Japan,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.132925071313875,-0.8937338884743738,-0.5434150247569023,3,14,61
1984,Japan,Judo,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.8937338884743738,-0.5434150247569023,4,5,42
1984,Japan,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-0.8937338884743738,-0.5434150247569023,1,1,10
1984,Japan,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-0.8937338884743738,-0.5434150247569023,0,12,24
1984,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,0.9952844890835763,-0.14626260267621932,9,11,100
1984,United States,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,0.9952844890835763,-0.14626260267621932,0,1,2
1984,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.132925071313875,0.9952844890835763,-0.14626260267621932,10,26,162
1984,United States,Judo,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,0.9952844890835763,-0.14626260267621932,0,2,7
1984,United States,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,0.9952844890835763,-0.14626260267621932,3,6,39
1984,United States,Swimming,-0.2720797484067361,-0.22851547244951506,1.5373506375177743,0.9952844890835763,-0.14626260267621932,50,63,565
1984,United States,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,0.9952844890835763,-0.14626260267621932,12,24,180
1988,Australia,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-1.0434731501100651,-0.7019791426894229,1,3,17
1988,Australia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-1.0434731501100651,-0.7019791426894229,0,2,4
1988,Brazil,Judo,1.3593866660941636,-0.22851547244951506,-0.6696038236597818,-1.6539486013940368,-0.6947499675472388,1,1,10
1988,Canada,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-0.09896396133108998,-0.6668242945598339,0,4,8
1988,China,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.5597001509793705,-0.6816841017518692,1,2,12
1988,China,Shooting,2.7869197787824507,-0.22851547244951506,-0.2683393761729534,-0.5597001509793705,-0.6816841017518692,0,2,7
1988,China,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.5597001509793705,-0.6816841017518692,0,4,17
1988,China,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-0.5597001509793705,-0.6816841017518692,0,11,22
1988,France,Judo,-0.2720797484067361,-0.22851547244951506,-0.6696038236597818,-0.6172921746854055,-0.5925432585051102,1,2,12
1988,Italy,Fencing,-0.2720797484067361,-0.22851547244951506,-0.5692877117880747,-0.8419010671389423,-0.609633873651548,2,24,94
1988,Italy,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.8419010671389423,-0.609633873651548,0,1,2
1988,Japan,Gymnastics,-0.2720797484067361,-0.22851547244951506,0.23324118318558207,-0.6460881865384231,-0.28080820742612944,0,7,14
1988,Japan,Judo,-0.2720797484067361,-0.22851547244951506,-0.6696038236597818,-0.6460881865384231,-0.28080820742612944,1,4,16
1988,Japan,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,-0.6460881865384231,-0.28080820742612944,0,1,5
1988,Japan,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.6460881865384231,-0.28080820742612944,1,1,10
1988,United States,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,1.1219869412368535,0.030604910917632667,0,5,25
1988,United States,Gymnastics,0.9515200624689386,-0.22851547244951506,0.23324118318558207,1.1219869412368535,0.030604910917632667,0,1,2
1988,United States,Judo,-0.2720797484067361,-0.22851547244951506,-0.6696038236597818,1.1219869412368535,0.030604910917632667,0,2,7
1988,United States,Shooting,-0.2720797484067361,-0.22851547244951506,-0.2683393761729534,1.1219869412368535,0.030604910917632667,0,1,5
1988,United States,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,1.1219869412368535,0.030604910917632667,24,45,318
1988,United States,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,1.1219869412368535,0.030604910917632667,4,7,49
1988,United States,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,1.1219869412368535,0.030604910917632667,12,12,120
1992,Australia,Equestrianism,-0.2720797484067361,-0.22851547244951506,-0.7699199355314889,-0.7497538292092862,-0.7314144470914737,5,5,50
1992,Australia,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-0.7497538292092862,-0.6950603921461849,1,9,35
1992,Australia,Tennis,-0.2720797484067361,-0.22851547244951506,-0.970552159274903,-0.7497538292092862,-0.6950603921461849,0,2,4
1992,Brazil,Judo,1.3593866660941636,-0.22851547244951506,0.032608959442167886,-1.6539486013940368,-0.6855493601374142,1,1,10
1992,Brazil,Swimming,-0.2720797484067361,-0.22851547244951506,1.7379828612611883,-1.6539486013940368,-0.6855493601374142,0,1,5
1992,Brazil,Volleyball,-0.2720797484067361,-0.22851547244951506,-1.1711843830183173,-1.6539486013940368,-0.6855493601374142,12,12,120
