Gold,Total,Score,Coach,Host,Events,Athletes,GDP
0,4,8,0,0,6,243,851.146
0,4,8,0,0,6,228,655.454
1,1,10,0,0,6,310,669.29
1,1,10,0,0,18,294,2464.053
0,3,12,0,1,18,571,1796.622
0,1,2,0,0,6,104,145.819
0,3,9,0,0,8,197,142.957
1,1,10,1,0,7,233,320.105
1,1,10,1,0,14,233,382.465
0,2,4,1,0,14,243,851.146
0,2,10,1,0,14,228,655.454
0,2,4,0,0,14,310,669.29
0,3,6,0,0,14,330,1695.855
1,4,16,0,0,14,294,2464.053
1,3,14,0,1,14,571,1796.622
0,2,4,0,0,15,416,1476.092
1,13,37,0,0,15,401,2188.419
1,7,25,0,0,21,38,145.819
0,1,5,0,1,15,571,1796.622
0,1,2,0,0,11,114,145.819
0,1,2,0,0,15,82,145.819
0,4,8,0,0,26,149,145.819
0,1,5,0,0,29,197,142.957
0,1,5,0,0,31,233,382.465
0,3,9,0,0,32,243,851.146
0,4,8,0,0,32,228,655.454
1,2,12,0,0,32,330,1695.855
0,2,7,0,0,32,294,2464.053
0,1,2,0,1,32,571,1796.622
0,2,4,0,0,35,416,1476.092
0,2,4,0,0,0,416,1476.092
0,12,60,0,0,2,197,142.957
12,12,120,0,0,2,233,382.465
0,12,24,0,0,2,243,851.146
0,12,24,0,0,4,228,655.454
12,12,120,1,0,4,310,669.29
12,24,180,1,0,4,330,1695.855
12,24,180,1,0,4,294,2464.053
12,12,120,1,1,4,571,1796.622
0,12,60,0,0,4,416,1476.092
0,13,26,0,0,2,401,2188.419
