Year,Aquatics,Archery,Athletics,Badminton,Baseball and Softball,Basketball,Basque Pelota,Boxing,Breaking,Canoeing,Cricket,Croquet,Cycling,Equestrian,Fencing,Field hockey,Flag football,Football,Golf,Gymnastics,Handball,Ice Hockey,Jeu de Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Rackets,Roque,Rowing,Rugby,Sailing,Shooting,Skateboarding,Skating,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Volleyball,Water Motorsports,Weightlifting,Wrestling,Total disciplines,Total events,Total sports
1896,4,0,12,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,1,10,43,11
1900,8,7,23,0,0,0,1,0,0,0,1,3,3,5,7,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,5,1,13,8,0,0,0,0,0,0,0,4,0,1,0,0,2,0,22,97,20
1904,12,6,25,0,0,0,0,7,0,0,0,0,7,0,5,0,0,1,2,11,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,7,18,95,16
1908,9,3,26,0,0,0,0,5,0,0,0,0,7,0,4,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,4,1,4,15,0,4,0,0,0,0,0,6,0,1,0,0,0,9,25,110,22
1912,14,0,30,0,0,0,0,0,0,0,0,0,2,5,5,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,4,0,4,18,0,0,0,0,0,0,0,8,0,1,0,0,0,5,18,102,14
1920,16,10,29,0,0,0,0,8,0,0,0,0,6,7,6,1,0,1,0,4,0,1,0,0,0,0,1,1,0,0,5,1,14,21,0,3,0,0,0,0,0,5,0,1,0,0,5,10,29,156,22
1924,17,0,27,0,0,0,0,8,0,0,0,0,6,5,7,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,7,1,3,10,0,0,0,0,0,0,0,5,0,0,0,0,5,13,23,126,17
1928,16,0,27,0,0,1,0,8,0,0,0,0,6,6,7,1,0,1,0,8,0,0,0,0,0,0,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,109,14
1932,16,0,29,0,0,1,0,8,0,9,0,0,6,6,7,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,14,20,117,14
1936,16,0,29,0,0,1,0,8,0,9,0,0,6,6,7,1,0,1,0,9,1,0,0,0,0,0,1,1,0,0,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,14,25,129,19
