,Team,Sport,Diff_Gold,Diff_Total,Diff_Score
1,Australia,Swimming,5.801899198,21.00990022,120.3592137
19,Italy,Swimming,6.033916571,27.8642364,103.4787796
11,France,Judo,8.026830077,19.85973203,103.4077796
7,China,Swimming,4.570900347,20.84251714,101.3417712
3,Brazil,Judo,3.17295534,19.49439042,98.52829858
22,Japan,Swimming,4.921825219,16.32312256,91.44077935
17,Italy,Shooting,3.623797822,12.50902553,86.16747503
16,Italy,Judo,6.139172296,13.83198584,80.84035759
5,Canada,Fencing,5.319945875,14.2741992,77.30214371
23,Japan,Fencing,4.665737416,11.92061697,66.78210301
0,Australia,Shooting,4.764306357,12.83374671,57.04277814
18,Italy,Volleyball,5.929570799,1.383927178,52.22538667
25,United States,Fencing,2.083142728,10.44337307,51.9879055
26,United States,Shooting,0.43308647,8.991451013,43.16459884
21,Japan,Judo,2.093113771,8.527915878,42.43430391
9,China,Judo,2.631460042,8.872659302,39.23698963
6,China,Shooting,2.327768482,9.327390786,34.25542301
8,China,Badminton,1.303876499,3.116148618,27.78002533
12,France,Volleyball,0.311086688,2.525605473,15.92971764
10,China,Tennis,0.826968238,4.212099855,13.62389468
2,Australia,Tennis,1.472746667,0.912153402,11.19814148
20,Italy,Tennis,2.087047909,1.160383339,7.740110908
4,Brazil,Volleyball,2.871446252,0.986166653,6.3836655
24,Japan,Badminton,-1.14055523,0.588754302,-2.684354986
14,Indonesia,Badminton,-0.814921623,-1.021982039,-9.346241846
13,Germany,Equestrian,-1.757854611,-1.200711307,-10.03701948
29,United States,Tennis,-2.250087014,-1.002826368,-13.57050516
28,United States,Volleyball,-5.559588137,-0.737115846,-50.12168276
27,United States,Swimming,-17.35697532,6.569280079,-63.84201246
15,Italy,Fencing,-8.666151996,-9.383472024,-101.8770946
